name,max,min,mean,stddev
aeroplane,3.207788596281662,7.235619141066795,3.581347835623519,0.1616519033939828
bicycle,2.167371614186538,5.055335473014166,3.5699591539515,0.11003268955428215
bird,2.4543232264159194,5.164785973923505,3.5802984011394954,0.10800786635091277
boat,3.242319785272955,6.844105251905637,3.649892025404938,0.09452969551023552
bottle,1.1433574417258934,4.628597318883228,2.5631160639384563,0.09735696595092623
bus,1.5490287846385407,8.061171359690857,3.3683312402383567,0.20720065729697965
car,0.4410853122263031,4.617672352356811,2.159332393929003,0.10697624430470745
cat,2.1524666766947256,7.115582126184445,3.351342527184299,0.16429290755607903
chair,0.02145192671795133,4.173934678803955,2.12238574290904,0.11791387517487442
cow,3.6104597224872954,6.680540953297446,4.068455529184606,0.10461907488799056
diningtable,0.37621918581933117,5.7665336852196605,2.198429195977841,0.18105871087794473
dog,2.129008569478154,6.103899976437768,3.2660276479219115,0.05421138412104475
horse,3.2311807600585802,6.961927757870583,3.667368127774918,0.14362825124504777
motorbike,2.0797030137691808,6.961927757870583,3.500945146150433,0.1290644931691845
person,-1.5603958273664977,1.546056970201719,-0.18399886916620792,0.06653094489978682
pottedplant,1.3167682984712803,6.103899976437768,3.266257367283312,0.1136786970046561
sheep,2.906445582727226,7.715123603632054,4.302900389406195,0.15799973969799305
sofa,0.9204624362445424,7.235619141066795,3.2406767943924737,0.18606585470110173
train,3.2990678865857768,6.961927757870583,3.483302116587861,0.12871344406714502
tvmonitor,0.9112173781004912,6.103899976437768,3.2303112162629968,0.1562451862373232
